,S2_PM10,S2_PM25,S2_SO2,S2_CO,S2_03
1238,,,,,31.68
1239,,,14.26,,
1240,,,11.24,,
1241,,,12.53,,
1242,,,13.69,,
1243,,14.38,,,
1244,,,,1026.6,
1245,,8.01,,,
1246,42.7,,,,
1247,,,,,20.47
1248,,,11.8,,
1249,,13.06,,,
1250,,,11.18,,
1251,,,11.06,,
1252,,,,,23.97
1253,,,,382.24,
1254,16.3,,,,
1255,,,,,25.52
1256,,,11.05,,
1257,25.9,,,,
1258,28.8,,,,
1259,,,11.73,,
1260,,,,,28.04
1261,,,,523.14,
1262,,,,554.34,
1263,,,,559.33,
1264,28.6,,,,
1265,,,,577.3,
1266,,,,,20.25
1267,,,,,19.09
1268,22.8,,,,
1269,,,,726.67,
1270,,,,,9.98
1271,,,,862.53,
1272,33.1,,,,
1273,,,,,13.66
1274,,,,626.79,
1275,,,11.32,,
1276,,3.39,,,
1277,,3.34,,,
1278,,,,,14.14
1279,,,11.76,,
1280,,,,,21.22
1281,,,,,19.8
1282,28.2,,,,
1283,,,,,26.0
1284,,,12.38,,
1285,,,13.02,,
1286,,,13.72,,
1287,,10.81,,,
1288,,,12.99,,
1289,,,,961.61,
1290,,9.14,,,
1291,,10.97,,,
1292,,11.71,,,
1293,,,,,9.65
1294,,6.79,,,
1295,,7.68,,,
1296,,15.24,,,
1297,,,,433.78,
1298,,,11.8,,
1299,,,11.8,,
1300,,,,339.34,
1301,,,,,31.54
1302,,,,304.02,
1303,,,,356.12,
1304,,,,347.44,
1305,14.0,,,,
1306,,,,,29.6
1307,,,12.96,,
1308,,,,,22.22
1309,17.2,,,,
1310,,,,456.37,
1311,,,,,12.48
1312,,,12.15,,
1313,28.7,,,,
1314,,,,1040.33,
1315,34.0,,,,
1316,,,11.47,,
1317,,13.05,,,
1318,,,11.4,,
1319,,,,863.09,
1320,45.6,,,,
1321,,,,,30.36
1322,,10.94,,,
1323,31.3,,,,
1324,,,,583.58,
1325,,,,508.75,
1326,22.4,,,,
1327,,,12.82,,
1328,,19.6,,,
1329,,,,446.49,
1330,,,,,13.79
1331,,,12.61,,
1332,,,12.05,,
1333,,,12.03,,
1334,,18.14,,,
1335,,,,691.06,
1336,,,,,16.17
1337,38.6,,,,
1338,,,,,10.81
1339,,,,,10.09
1340,,,,,8.09
1341,,9.84,,,
1342,39.4,,,,
1343,,,,805.3,
1344,,14.54,,,
1345,35.0,,,,
1346,,12.05,,,
1347,,9.91,,,
1348,,,12.75,,
1349,,,,633.09,
1350,,,,718.94,
1351,37.5,,,,
1352,,8.48,,,
1353,,,,819.11,
1354,47.6,14.36,14.19,864.34,19.8
1355,,18.96,,,
1356,,,14.06,,
1357,,,,1297.99,
1358,,,13.18,,
1359,,,,1463.18,
1360,66.6,,,,
1361,,18.75,,,
1362,64.1,21.11,12.58,1232.72,8.04
1363,63.3,,,,
1364,,,,,7.63
1365,,,,,7.9
1366,,,,,8.04
1367,,,12.14,,
1368,,,,,9.83
1369,,19.13,,,
1370,,,12.6,,
1371,,,,601.87,
1372,,10.09,,,
1373,,,,,16.16
1374,,,,498.35,
1375,,10.02,,,
1376,,,,866.31,
1377,44.5,,,,
1378,,,12.9,,
1379,,22.52,,,
1380,,20.47,,,
1381,32.5,,,,
1382,,34.27,,,
1383,,,12.5,,
1384,,,12.77,,
1385,,,,,8.52
1386,55.3,,,,
1387,,,,,8.39
1388,,,,,11.86
1389,,,12.36,,
1390,53.4,,,,
1391,,,,,22.38
1392,39.1,12.42,13.68,536.39,23.54
1393,,17.49,,,
1394,,,13.85,,
1395,,,14.04,,
1396,26.2,,,,
1397,22.9,,,,
1398,,,,591.22,
1399,,,13.56,,
1400,,,,544.27,
1401,34.4,,,,
1402,,,12.93,,
1403,,9.64,,,
1404,,,,882.22,
1405,,11.84,,,
1406,,,,,7.98
1407,,,12.38,,
1408,39.2,,,,
1409,,12.46,,,
1410,,9.78,,,
1411,22.9,,,,
1412,,6.28,,,
1413,,,12.68,,
1414,,,,628.58,
1415,,,,,35.62
1416,,,15.14,,
1417,,,15.63,,
1418,,,,469.39,
1419,,3.97,,,
1420,,,15.79,,
1421,25.8,,,,
1422,,,,,18.59
1423,,3.27,,,
1424,,2.46,,,
1425,,,,685.86,
1426,,,,689.36,
1427,,,,647.02,
1428,,,,,21.95
1429,,,,,25.29
1430,,,12.83,,
1431,,,,,25.73
1432,,9.25,,,
1433,,,,,29.14
1434,,,13.12,,
1435,,6.97,,,
1436,,,13.37,,
1437,,,,270.08,
1438,,15.22,,,
1439,44.5,,,,
1440,39.5,,,,
1441,35.3,,,,
1442,,,14.15,,
1443,,,,268.12,
1444,,,,249.69,
1445,,,,,27.75
1446,31.2,,,,
1447,,,,340.62,
1448,,,,390.68,
1449,,,,,28.93
1450,31.0,,,,
1451,,,,,26.94
1452,,8.54,,,
1453,,,12.59,,
1454,,,,246.42,
1455,29.9,,,,
1456,,5.72,,,
1457,27.0,,,,
1458,,7.02,,,
1459,,,,460.04,
1460,,22.68,,,
1461,,16.55,,,
1462,,,14.38,,
1463,65.8,,,,
1464,,,,,19.87
1465,,,,,16.27
1466,56.2,,,,
1467,,8.34,,,
1468,,,,,14.13
1469,,5.11,,,
1470,,,12.58,,
1471,20.6,,,,
1472,,,,1378.51,
1473,,,,,11.18
1474,,,,1395.5,
1475,38.9,,,,
1476,,11.39,,,
1477,,,,,14.0
1478,,15.68,,,
1479,,11.04,,,
1480,,8.27,,,
1481,,,13.19,,
1482,,,,1286.43,
1483,35.7,3.86,13.01,1278.06,22.07
1484,28.1,,,,
1485,,15.73,,,
1486,,,,1633.44,
1487,,,,2082.16,
1488,32.0,,,,
1489,,,,2158.54,
1490,,,,1333.82,
1491,,,,1314.95,
1492,,,,1244.79,
1493,,,,,9.67
1494,31.6,,,,
1495,,,,983.14,
1496,33.5,,,,
1497,,,,746.24,
1498,,,,,17.81
1499,,,,,18.87
1500,46.1,,,,
1501,,,14.97,,
1502,,,13.91,,
1503,,,,932.15,
1504,48.7,,,,
1505,,6.27,,,
1506,,6.05,,,
1507,27.7,,,,
1508,,,12.09,,
1509,,,12.27,,
1510,,11.3,,,
1511,31.9,,,,
1512,,17.07,,,
1513,,16.12,,,
1514,,,,,20.72
1515,,,,,27.26
1516,39.3,,,,
1517,,,,1382.99,
1518,,,,1335.75,
1519,,,14.05,,
1520,,17.33,,,
1521,,,13.52,,
1522,,,,1572.54,
1523,,,,,2.56
1524,26.2,,,,
1525,,,,,34.0
1526,,12.06,,,
1527,,,,875.06,
1528,,,16.24,,
1529,,,,886.39,
1530,,8.18,,,
1531,39.3,,,,
1532,,,7.47,,
1533,48.4,,,,
1534,44.9,,,,
1535,41.3,,,,
1536,,9.78,,,
1537,,,5.5,,
1538,,17.51,,,
1539,17.4,,,,
1540,,,,3936.4,
1541,25.1,,,,
1542,,,,,15.98
1543,34.6,,,,
1544,,,,,11.95
1545,40.2,,,,
1546,,,,,13.7
1547,,6.67,,,
1548,,,17.99,,
1549,,,,667.89,
1550,,,19.85,,
1551,,,,,44.95
1552,,,,566.01,
1553,,4.1,,,
1554,,,,,33.92
1555,,2.75,,,
1556,,,,798.53,
1557,26.2,,,,
1558,,,,,31.59
1559,,,,576.79,
1560,,,,665.31,
1561,,,19.62,,
1562,,8.87,,,
1563,28.7,,,,
1564,,,,,59.07
1565,,19.99,,,
1566,,,,,63.09
1567,,,,715.85,
1568,,16.13,,,
1569,,,20.21,,
1570,,,,758.55,
1571,,15.97,,,
1572,34.6,,,,
1573,,,,,23.02
1574,,,19.33,,
1575,,,18.68,,
1576,46.5,,,,
1577,33.8,,,,
1578,,,,34.02,
1579,,7.91,,,
1580,,,,269.25,
1581,42.3,,,,
1582,,,,179.68,
1583,,,20.0,,
1584,,,19.9,,
1585,,,19.86,,
1586,,,,1141.32,
1587,,8.52,,,
1588,,,19.17,,
1589,,,,,27.22
1590,,,,2153.01,
1591,,,,,21.91
1592,,,18.51,,
1593,,,,1757.99,
1594,,20.19,,,
1595,32.4,,,,
1596,32.0,,,,
1597,37.6,,,,
1598,,16.85,,,
1599,,,,2259.12,
1600,,,,1968.3,
1601,,18.05,,,
1602,,13.26,,,
1603,,22.95,,,
1604,56.1,,,,
1605,,,,,23.02
1606,,,,2120.21,
1607,,21.87,,,
1608,,,17.9,,
1609,,,,,36.38
1610,,,17.8,,
1611,,,,1897.29,
1612,,,18.6,,
1613,,,,,24.9
1614,,,18.32,,
1615,,,,,28.6
1616,,,18.66,,
1617,,,,,31.64
1618,,,,1697.47,
1619,,,,1615.28,
1620,,,18.58,,
1621,44.1,23.37,18.34,1658.15,28.99
1622,,,18.35,,
1623,,17.09,,,
1624,,16.79,,,
1625,,,,1845.28,
1626,,,17.71,,
1627,42.6,,,,
1628,,,17.79,,
1629,32.2,,,,
1630,,10.49,,,
1631,,,,,18.04
1632,,,,1731.76,
1633,,5.57,,,
1634,,,,,23.02
1635,,,,1749.0,
1636,29.7,5.43,18.62,1712.61,32.85
1637,,,,,36.51
1638,,7.57,,,
1639,,,,1600.61,
1640,,,,1565.57,
1641,,,19.38,,
1642,,4.57,,,
1643,,6.56,,,
1644,,19.15,,,
1645,,16.85,,,
1646,,,22.32,,
1647,,,22.1,,
1648,,,18.46,,
1649,,,,,24.79
1650,,,,1773.54,
1651,,,17.85,,
1652,,,17.96,,
1653,,,18.25,,
1654,,,,,16.2
1655,,19.97,,,
1656,,29.78,,,
1657,,,18.35,,
1658,34.7,,,,
1659,,,,1610.78,
1660,25.6,,,,
1661,,,,1521.01,
1662,,10.36,,,
1663,,,18.92,,
1664,,,18.37,,
1665,,,18.13,,
1666,27.2,,,,
1667,,,18.58,,
1668,,,18.46,,
1669,,,18.54,,
1670,,,,2161.11,
1671,,6.78,,,
1672,,,18.95,,
1673,,,,,43.8
1674,,,,,48.43
1675,,13.36,,,
1676,,11.25,,,
1677,,,,1597.28,
1678,,,,,23.66
1679,,,,,27.28
1680,,16.45,,,
1681,,21.35,,,
1682,,,,1805.95,
1683,,,17.53,,
1684,,,,,24.32
1685,,,,1718.58,
1686,,16.33,,,
1687,,16.35,,,
1688,,,,,28.57
1689,24.7,,,,
1690,26.1,,,,
1691,,14.24,,,
1692,,,19.15,,
1693,,,,,56.48
1694,,,19.28,,
1695,,,,,55.45
1696,,15.52,,,
1697,,15.52,,,
1698,,,,1519.2,
1699,23.9,,,,
1700,,14.17,,,
1701,,,19.15,,
1702,,,,,22.21
1703,,,,2171.39,
1704,,23.39,,,
1705,30.7,,,,
1706,,,,,19.21
1707,37.0,,,,
1708,,,,,27.47
1709,,,17.71,,
1710,,,,,17.17
1711,25.4,,,,
1712,,,,,30.6
1713,,,18.72,,
1714,,,,,45.4
1715,,,,1600.08,
1716,,,20.09,,
1717,,,20.23,,
1718,,,,,59.93
1719,,18.65,,,
1720,,14.68,,,
1721,,11.81,,,
1722,23.1,,,,
1723,21.1,,,,
1724,20.8,,,,
1725,,,,,23.45
1726,,,17.96,,
1727,20.5,,,,
1728,,11.23,,,
1729,28.2,,,,
1730,,,,,17.64
1731,,,17.83,,
1732,,,18.03,,
1733,,,18.47,,
1734,,,18.7,,
1735,,,18.9,,
1736,,,19.51,,
1737,31.8,,,,
1738,,,20.41,,
1739,26.3,,,,
1740,24.9,,,,
1741,,10.25,,,
1742,,,,,79.32
1743,,,,442.56,
1744,,,,1422.55,
1745,37.9,,,,
1746,,,,,21.08
1747,,,18.69,,
1748,,,,1759.64,
1749,,,,,42.69
1750,39.5,,,,
1751,,,20.71,,
1752,,,,1587.92,
1753,35.5,,,,
1754,,,22.41,,
1755,,,,,64.12
1756,,,21.0,,
1757,,,,473.02,
1758,,,18.99,,
1759,,,,751.0,
1760,,,,876.0,
1761,26.9,,,,
1762,,,,1454.18,
1763,30.4,,,,
1764,29.0,,,,
1765,,,,,26.03
1766,26.4,,,,
1767,,,,,38.74
1768,,,,,34.04
1769,,,,1412.43,
1770,,,,,38.49
1771,18.5,,,,
1772,,8.85,,,
1773,,,,,58.43
1774,,,19.2,,
1775,,,19.45,,
1776,,,17.94,,
1777,15.1,,,,
1778,,,17.29,,
1779,13.7,,,,
1780,,,16.89,,
1781,,,,1208.89,
1782,,8.0,,,
1783,,,16.73,,
1784,12.9,,,,
1785,,,,1358.02,
1786,,,,,40.58
1787,,,17.64,,
1788,,12.21,,,
1789,,11.44,,,
1790,,,,1101.43,
1791,,,20.24,,
1792,,,,699.93,
1793,,,,,36.24
1794,,16.76,,,
1795,18.6,,,,
1796,,,,1190.83,
1797,,,,,58.87
1798,,,,,61.51
1799,,12.4,,,
1800,17.6,,,,
1801,,,20.3,,
1802,,,,,59.52
1803,,15.55,,,
1804,14.8,,,,
1805,,,17.52,,
1806,,,,1188.61,
1807,,,16.8,,
1808,,12.69,,,
1809,11.6,,,,
1810,,,16.53,,
1811,,,,,31.44
1812,,,,1208.25,
1813,,,17.25,,
1814,,9.68,,,
1815,8.1,,,,
1816,8.3,,,,
1817,,7.2,,,
1818,,,,1053.08,
1819,,7.43,,,
1820,,,18.5,,
1821,,,,980.06,
1822,,8.11,,,
1823,,,,951.63,
1824,,,,,53.15
1825,,,18.99,,
1826,,,18.65,,
1827,,,8.47,,
1828,,17.43,,,
1829,,13.7,,,
1830,28.0,,,,
1831,,,,,41.16
1832,,,,,33.08
1833,,,,,28.02
1834,,,,,32.52
1835,,,,,33.91
1836,,,9.82,,
1837,,,,,34.44
1838,,19.5,,,
1839,,,8.75,,
1840,29.0,,,,
1841,,9.67,,,
1842,,,8.54,,
1843,,,,,29.2
1844,,,,,33.64
1845,,,9.1,,
1846,,,6.35,,
1847,28.8,,,,
1848,23.6,,,,
1849,,17.21,,,
1850,,,11.98,,
1851,,,,,51.9
1852,,,11.91,,
1853,,20.91,,,
1854,,,11.09,,
1855,,15.46,,,
1856,,,,812.16,
1857,,,,,27.81
1858,,15.13,,,
1859,,,,812.23,
1860,,14.08,,,
1861,,17.43,,,
1862,,,8.11,,
1863,,15.95,,,
1864,,,,,20.66
1865,,12.2,,,
1866,,,8.77,,
1867,,10.51,,,
1868,,,,,36.82
1869,,,,812.05,
1870,,,,812.06,
1871,,21.52,,,
1872,,17.19,,,
1873,31.8,,,,
1874,35.8,,,,
1875,,,,812.13,
1876,,,,,37.5
1877,34.2,18.59,9.31,812.09,32.7
1878,,16.88,,,
1879,,,,812.14,
1880,,17.98,,,
1881,,,7.8,,
1882,35.1,,,,
1883,,,7.58,,
1884,,,,811.88,
1885,,,,811.89,
1886,,,,,54.35
1887,29.7,,,,
1888,,4.92,,,
1889,,,,812.0,
1890,33.9,,,,
1891,,,,811.97,
1892,34.4,,,,
1893,,,,811.9,
1894,,4.23,,,
1895,25.0,,,,
1896,,4.77,,,
1897,24.5,,,,
1898,,,6.97,,
1899,,,,,29.69
1900,19.0,,,,
1901,,,7.0,,
1902,18.5,,,,
1903,,,,811.67,
1904,,,6.83,,
1905,18.7,,,,
1906,,,6.53,,
1907,,,6.53,,
1908,,,6.77,,
1909,,,,811.73,
1910,,3.7,,,
1911,13.5,,,,
1912,,,,,28.39
1913,,,,811.82,
1914,19.6,,,,
1915,19.6,,,,
1916,,,,811.85,
1917,,,,,20.85
1918,,,,,15.49
1919,,,,812.01,
1920,,12.98,,,
1921,,,,,26.88
1922,19.9,,,,
1923,,,,811.62,
1924,,4.38,,,
1925,14.7,,,,
1926,,3.64,,,
1927,,,6.36,,
1928,,,,811.59,
1929,,,,,35.94
1930,,,8.44,,
1931,,,,811.73,
1932,,,,,35.25
1933,,4.29,,,
1934,19.5,,,,
1935,18.2,,,,
1936,18.0,,,,
1937,,4.16,,,
1938,,,7.18,,
1939,,,6.91,,
1940,,7.64,,,
1941,23.3,,,,
1942,,,,811.86,
1943,,,,,12.24
1944,,,6.32,,
1945,,,,,13.43
1946,,,6.42,,
1947,,,,,19.61
1948,,,,811.98,
1949,25.2,,,,
1950,,,,811.84,
1951,0.0,,,,
1952,,,,,42.74
1953,,,,,43.61
1954,,,,,41.72
1955,,,,811.83,
1956,,,9.58,,
1957,,,9.29,,
1958,23.0,,,,
1959,,,8.51,,
1960,,,,,23.32
1961,,,,811.98,
1962,34.5,,,,
1963,,5.89,,,
1964,,,,,16.37
1965,,,7.31,,
1966,,6.33,,,
1967,,,,811.8,
1968,,9.32,,,
1969,,7.89,,,
1970,,,,,24.12
1971,39.5,,,,
1972,,,,,58.72
1973,,7.87,,,
1974,,,,,51.5
1975,,9.61,,,
1976,,,,832.57,
1977,,,9.88,,
1978,,,9.38,,
1979,,,,,36.24
1980,31.9,,,,
1981,,17.72,,,
1982,,16.47,,,
1983,33.6,,,,
1984,,14.96,,,
1985,,,,685.23,
1986,,,7.02,,
1987,,,,,11.55
1988,,,,,16.93
1989,,,,1038.57,
1990,,18.71,,,
1991,,14.16,,,
1992,31.0,11.25,9.18,664.37,52.46
1993,,,,632.44,
1994,,6.11,,,
1995,25.0,,,,
1996,,,,837.1,
1997,23.8,,,,
1998,,,,,43.41
1999,,,,,36.4
2000,,,,1028.13,
2001,,,10.12,,
2002,,,,906.33,
2003,,10.96,,,
2004,,,,,18.27
2005,,,,1002.59,
2006,,,,,8.37
2007,,,8.18,,
2008,,,,,9.76
2009,,11.16,,,
2010,,,7.2,,
2011,,,,,17.55
2012,,9.85,,,
2013,,,7.85,,
2014,,,,813.15,
2015,,7.49,,,
2016,,,,707.82,
2017,,,11.05,,
2018,34.0,,,,
2019,,,,755.89,
2020,,,11.18,,
2021,,6.4,,,
2022,,4.96,,,
2023,33.0,,,,
2024,,,,1148.91,
2025,,,,1116.02,
2026,,,,,28.66
2027,,,,,17.32
2028,35.5,,,,
2029,,,,961.09,
2030,,,8.26,,
2031,,,8.17,,
2032,,,7.67,,
2033,,,7.78,,
2034,,,8.07,,
2035,32.7,,,,
2036,,5.77,,,
2037,,5.67,,,
2038,,,10.32,,
2039,,,,,52.42
2040,,,,682.79,
2041,,8.99,,,
2042,,12.0,,,
2043,,10.56,,,
2044,,,,,38.24
2045,,,,,30.56
2046,,,9.14,,
2047,23.4,,,,
2048,,,,,24.98
2049,,27.78,,,
2050,24.1,,,,
2051,,,,,38.13
2052,,,,582.38,
2053,19.2,8.47,7.4,550.7,39.17
2054,,,,,36.16
2055,,,7.15,,
2056,,,,583.34,
2057,,,7.26,,
2058,20.8,,,,
2059,17.9,,,,
2060,,8.96,,,
2061,16.4,,,,
2062,17.3,,,,
2063,,,10.17,,
2064,,,,726.54,
2065,,,,,47.1
2066,,,,,47.05
2067,,,9.79,,
2068,,11.12,,,
2069,,,,,34.62
2070,,92.39,,,
2071,,,,,34.9
2072,,,,563.54,
2073,22.5,,,,
2074,,,7.56,,
2075,,,,497.16,
2076,,,,,36.65
2077,,,,580.46,
2078,,8.27,,,
2079,22.9,,,,
2080,,,,745.37,
2081,,9.59,,,
2082,,9.41,,,
2083,,6.96,,,
2084,,,9.77,,
2085,,,,693.11,
2086,26.0,,,,
2087,,,,794.48,
2088,,,,,42.37
2089,,,,,43.33
2090,,,,,44.86
2091,,,,624.09,
2092,22.0,,,,
2093,,,7.97,,
2094,,,,606.85,
2095,,6.63,,,
2096,,,,508.92,
2097,23.1,4.58,7.25,485.15,35.24
2098,,,,472.07,
2099,,,,,30.55
2100,21.5,,,,
2101,,,,,24.55
2102,,,7.48,,
2103,,3.16,,,
2104,27.5,,,,
2105,,,9.02,,
2106,,,9.53,,
2107,28.3,,,,
2108,,,9.9,,
2109,,3.59,,,
2110,,4.02,,,
2111,,,,,42.67
2112,,,,,39.52
2113,22.9,,,,
2114,10.9,,,,
2115,,,,,29.9
2116,27.5,,,,
2117,,,,777.65,
2118,,,,,28.79
2119,,14.68,,,
2120,,18.47,,,
2121,,,,539.19,
2122,,15.46,,,
2123,,,,,25.8
2124,,,7.93,,
2125,,,,,27.25
2126,,,,,37.34
2127,,6.89,,,
2128,,,,,41.34
2129,,,,,42.04
2130,,,,,44.1
2131,,,,620.41,
2132,,,9.86,,
2133,22.7,,,,
2134,,2.51,,,
2135,,10.56,,,
2136,,,,832.91,
2137,,,9.45,,
2138,,,,705.7,
2139,,,,,38.25
2140,,,8.48,,
2141,,11.94,,,
2142,,9.27,,,
2143,,,,649.03,
2144,,,7.52,,
2145,,10.11,,,
2146,37.2,,,,
2147,,,,620.69,
2148,30.5,,,,
2149,41.6,,,,
2150,,7.88,,,
2151,,,,,57.76
2152,,,,,61.7
2153,,7.26,,,
2154,37.6,,,,
2155,,6.24,,,
2156,,,10.33,,
2157,,,,,68.91
2158,,,,1165.92,
2159,50.7,,,,
2160,,,9.3,,
2161,,6.34,,,
2162,56.0,,,,
2163,,,8.99,,
2164,,,,1205.94,
2165,,,,1117.96,
2166,,,,,9.29
2167,,17.58,,,
2168,44.5,,,,
2169,42.4,,,,
2170,42.0,,,,
2171,,,7.89,,
2172,41.6,,,,
2173,,,,1140.52,
2174,,,,,58.47
2175,,,,,73.82
2176,,,,840.49,
2177,,5.21,,,
2178,,,,962.75,
2179,33.7,,,,
2180,34.6,,,,
2181,,,,1101.11,
2182,,,,1092.79,
2183,38.3,,,,
2184,,17.29,,,
2185,,,,1008.24,
2186,,,,,37.26
2187,,14.4,,,
2188,,,,,40.32
2189,26.4,,,,
2190,29.5,,,,
2191,,,,699.37,
2192,25.9,,,,
2193,,,,836.45,
2194,,,,,33.12
2195,,7.0,,,
2196,,6.27,,,
2197,,,,,52.97
2198,28.8,,,,
2199,,,,750.78,
2200,,,,,67.91
2201,,,,,59.36
2202,,2.86,,,
2203,,2.76,,,
2204,,,9.15,,
2205,,,9.16,,
2206,28.4,,,,
2207,,,,,35.5
2208,23.7,,,,
2209,,,,,13.22
2210,,,7.86,,
2211,,,,,14.9
2212,,,,1068.97,
2213,20.9,,,,
2214,19.4,,,,
2215,,,7.29,,
2216,,,,,14.11
2217,,,7.33,,
2218,,,7.37,,
2219,,,,719.26,
2220,,4.06,,,
2221,,4.38,,,
2222,,,,,61.07
2223,,,,,55.02
2224,,,,801.28,
2225,38.3,,,,
2226,,,,943.46,
2227,,,,,46.88
2228,47.5,,,,
2229,,16.19,,,
2230,,17.7,,,
2231,,,,949.93,
2232,,15.74,,,
2233,,15.24,,,
2234,,,,820.84,
2235,,,,,58.9
2236,26.9,,,,
2237,,3.4,,,
2238,,,,,45.54
2239,35.3,2.56,10.43,986.64,41.49
2240,26.7,,,,
2241,26.5,7.42,9.07,1075.53,38.19
2242,,6.37,,,
2243,,,8.7,,
2244,,,,,32.47
2245,,,,883.68,
2246,,,,,35.08
2247,22.8,,,,
2248,,,7.25,,
2249,,,,626.09,
2250,,4.88,,,
2251,,5.09,,,
2252,,26.16,,,
2253,23.1,,,,
2254,,,,,24.6
2255,,,,,32.03
2256,,,7.25,,
2257,,,7.47,,
2258,,,7.75,,
2259,,,8.2,,
2260,,,,737.29,
2261,,4.15,,,
2262,,,,,49.0
2263,,3.3,,,
2264,,,8.26,,
2265,,,8.08,,
2266,29.7,,,,
2267,24.6,,,,
2268,,,8.53,,
2269,,,,1061.43,
2270,,,,,26.55
2271,,,,991.25,
2272,,,,,10.27
2273,34.0,,,,
2274,,,,871.63,
2275,,,6.9,,
2276,,,,,14.17
2277,,,6.94,,
2278,,11.4,,,
2279,,,,1013.01,
2280,,,9.25,,
2281,,5.29,,,
2282,,,,,63.3
2283,,,8.95,,
2284,,,,1086.04,
2285,,,,,40.68
2286,59.7,,,,
2287,,,,,13.48
2288,61.7,,,,
2289,,,8.04,,
2290,,19.43,,,
2291,,,,,10.83
2292,,,,,8.87
2293,,,8.5,,
2294,,,8.26,,
2295,,10.21,,,
2296,,6.8,,,
2297,56.2,,,,
2298,,,,1368.36,
2299,63.2,,,,
2300,,10.23,,,
2301,,,,,41.75
2302,,,9.08,,
2303,,,9.02,,
2304,58.2,,,,
2305,64.1,,,,
2306,,,9.02,,
2307,,7.88,,,
2308,87.3,,,,
2309,,,,993.1,
2310,,,,971.2,
2311,,27.88,,,
2312,,,,,52.12
2313,32.2,,,,
2314,,,,586.93,
2315,,,,635.03,
2316,,,,755.86,
2317,12.3,,,,
2318,,,,,46.22
2319,,,8.29,,
2320,,,,,46.74
2321,,,,,43.78
2322,,,,,38.45
2323,,,,1121.9,
2324,,,,,35.29
2325,15.8,4.71,8.7,1191.83,19.92
2326,17.4,,,,
2327,,7.34,,,
2328,,12.14,,,
2329,,,,1080.61,
2330,20.2,,,,
2331,,,,,39.05
2332,,13.48,,,
2333,,,6.92,,
2334,,,6.69,,
2335,,,,740.7,
2336,,,6.63,,
2337,,7.69,,,
2338,,,7.21,,
2339,,,,836.88,
2340,,,,795.64,
2341,26.2,,,,
2342,,,,,60.22
2343,,,,733.31,
2344,,,8.83,,
2345,,,,893.17,
2346,,4.63,,,
2347,,,,,50.46
2348,,,7.87,,
2349,,6.61,,,
2350,15.8,,,,
2351,,,,,28.1
2352,,14.52,,,
2353,,18.22,,,
2354,,,,,32.12
2355,,12.38,,,
2356,,10.04,,,
2357,21.5,,,,
2358,,,,,34.16
2359,22.8,,,,
2360,,,,824.22,
2361,,4.47,,,
2362,,,7.4,,
2363,22.9,,,,
2364,,,,,46.85
2365,,,,746.8,
2366,,,,,53.04
2367,,,8.74,,
2368,,,,834.82,
2369,,3.66,,,
2370,18.8,,,,
2371,,,,,40.17
2372,,,,934.77,
2373,15.1,,,,
2374,,9.56,,,
2375,,17.55,,,
2376,,,,909.42,
2377,20.6,,,,
2378,28.0,,,,
2379,,,,751.12,
2380,28.1,,,,
2381,,,,725.19,
2382,,,,788.93,
2383,,,6.98,,
2384,21.1,,,,
2385,,,,932.38,
2386,,,,968.18,
2387,,,8.72,,
2388,,,,1106.17,
2389,,,,1160.4,
2390,29.2,,,,
2391,,,,,13.23
2392,,,8.3,,
2393,,,8.63,,
2394,,,,1505.15,
2395,,22.21,,,
2396,,,,,12.78
2397,,14.26,,,
2398,,,,1154.35,
2399,,6.26,,,
2400,,,,,10.38
2401,,,,1249.65,
2402,,,,,14.35
2403,,,7.86,,
2404,,,,1149.87,
