,S1_PM10,S1_PM25,S1_SO2,S1_NO2,S1_NOX,S1_NO
0,,,,,,174.86
1,,,12.86,,,
2,8.58,,,,,
3,,64.53,,,,
4,,,,,,173.65
5,,,,120.23,,
6,,,,,136.94,
7,,50.78,,,,
8,,,,135.21,,
9,,,13.03,,,
10,,,,,161.02,
11,,,,109.83,,
12,,,11.35,,,
13,,,,,,120.04
14,,,,,,106.92
15,,,,,,88.83
16,70.92,,,,,
17,,,,,,77.36
18,,,10.23,,,
19,,44.76,,,,
20,,,,72.0,,
21,,,8.7,,,
22,,,8.93,,,
23,,,,,91.26,
24,,,12.59,,,
25,,28.87,,,,
26,,,11.61,,,
27,,,11.53,,,
28,,,,,83.71,
29,,29.24,,,,
30,,25.77,,,,
31,,,,,106.2,
32,,,,,223.91,
33,,43.09,,,,
34,,,,87.39,,
35,,51.26,,,,
36,,,,145.14,,
37,,48.41,,,,
38,,,,,,221.22
39,,,,,308.26,
40,,,,96.08,,
41,,,,,223.5,
42,,62.34,,,,
43,19.17,,,,,
44,,,,60.89,,
45,,,8.64,,,
46,,,,,,19.69
47,39.88,,,,,
48,,,,36.38,,
49,26.7,,,,,
50,,12.62,,,,
51,,,,59.53,,
52,,,,65.75,,
53,,,,73.46,,
54,51.21,,,,,
55,46.37,,,,,
56,,,,,65.76,
57,38.67,,,,,
58,,,,,68.39,
59,,,,54.87,,
60,32.89,17.19,7.61,46.45,51.79,5.34
61,,10.73,,,,
62,,,,,,3.42
63,,,,55.53,,
64,,,,56.45,,
65,,14.54,,,,
66,30.07,,,,,
67,,,7.59,,,
68,,,,,88.5,
69,,,,70.31,,
70,,,,,,40.82
71,,,,,97.89,
72,34.02,,,,,
73,,,,,,6.3
74,,,,53.44,,
75,,19.44,,,,
76,,,,,,6.32
77,,20.59,,,,
78,19.3,,,,,
79,,,,,,19.98
80,,,,83.84,,
81,,,,,108.17,
82,,,,82.95,,
83,,,,,117.55,
84,,23.12,,,,
85,,,,43.95,,
86,,,,,,3.36
87,,,,,,4.38
88,,17.84,,,,
89,,,,,267.18,
90,,,,,,48.44
91,95.32,,,,,
92,,,,106.2,,
93,70.16,,,,,
94,,,13.1,,,
95,,,,,518.32,
96,88.19,,,,,
97,,,,,476.42,
98,,,,,559.92,
99,,,10.73,,,
100,,,,187.71,,
101,,,,,,248.39
102,,65.08,,,,
103,20.9,,,,,
104,,,12.49,,,
105,,,10.68,,,
106,83.15,,,,,
107,,,,120.03,,
108,91.67,,,,,
109,,36.14,,,,
110,,,,78.86,,
111,,,,75.64,,
112,49.62,,,,,
113,,,,,306.96,
114,,,,,,13.13
115,,,6.56,,,
116,,,,,,53.83
117,,,,,377.22,
118,,,,,,260.39
119,,,,166.2,,
120,,,11.99,,,
121,,49.69,,,,
122,,,,,145.52,
123,,,,,127.8,
124,72.83,,,,,
125,,,,75.51,,
126,,,,96.75,,
127,,13.65,,,,
128,,,13.87,,,
129,,,,,,139.39
130,,,,,,117.76
131,,,,,252.93,
132,,61.12,,,,
133,,,,,,53.84
134,,19.97,,,,
135,,,,,,14.83
136,,,,,,4.53
137,,,9.65,,,
138,,,11.54,,,
139,,,,,,117.43
140,82.51,,,,,
141,,,,,559.9,
142,,,,,,216.85
143,,,10.54,,,
144,,,,,,57.31
145,65.64,,,,,
146,,,,,,34.67
147,61.7,,,,,
148,,,,75.49,,
149,41.64,,,,,
150,,,,,206.36,
151,,,9.22,,,
152,,,,127.81,,
153,,,,,275.8,
154,,,,,,108.94
155,,,,,,69.03
156,,,10.68,,,
157,,,,,,15.06
158,,,,,50.93,
159,,,8.39,,,
160,,,10.18,,,
161,74.22,,,,,
162,93.66,,,,,
163,81.06,,,,,
164,,,,,,152.17
165,83.06,,,,,
166,,,,,,108.93
167,,,,98.44,,
168,,,11.5,,,
169,,,20.15,,,
170,,,,,125.17,
171,87.54,,,,,
172,,23.57,,,,
173,,20.24,,,,
174,28.72,,,,,
175,,14.5,,,,
176,26.75,,,,,
177,,,10.79,,,
178,,,,,,144.8
179,,,11.94,,,
180,,,,,179.52,
181,,,,91.67,,
182,,,,87.53,,
183,,31.4,,,,
184,,40.71,,,,
185,44.36,,,,,
186,,34.47,,,,
187,,,7.02,,,
188,40.6,,,,,
189,,,,,217.78,
190,,,,,,141.63
191,,,17.52,,,
192,30.29,,,,,
193,,,,,66.87,
194,,11.21,,,,
195,59.64,,,,,
196,69.7,24.84,8.22,137.48,259.53,122.05
197,,,,,,75.89
198,,,6.97,,,
199,,,,,160.09,
200,,,,,76.52,
201,,,,53.64,,
202,,20.51,,,,
203,,,,,71.26,
204,,,,,,31.35
205,,,,,165.75,
206,,,13.51,,,
207,,,,121.93,,
208,,45.0,,,,
209,73.98,,,,,
210,40.0,,,,,
211,,57.93,,,,
212,,,,,,33.6
213,51.12,,,,,
214,53.36,,,,,
215,41.87,,,,,
216,,,,106.72,,
217,,,12.84,,,
218,,28.04,,,,
219,,29.52,,,,
220,,,,141.72,,
221,,,,,,87.91
222,,,,,,119.31
223,,,,,,90.59
224,,,,,128.81,
225,,,,106.2,,
226,,,12.56,,,
227,,,,,172.3,
228,,,,,,62.63
229,,33.05,,,,
230,,,11.35,,,
231,,,,179.68,,
232,,,,,,178.39
233,,63.57,,,,
234,35.37,,,,,
235,,,,,,67.85
236,,,,124.75,,
237,,,,,108.59,
238,,28.41,,,,
239,,,10.98,,,
240,,,,,,17.31
241,,,,92.78,,
242,,5.01,,,,
243,,8.99,,,,
244,,,,,260.54,
245,,,,97.5,,
246,,10.71,,,,
247,,,,,58.52,
248,,5.54,,,,
249,3.81,,,,,
250,,,,22.55,,
251,,3.44,,,,
252,,,,,,4.98
253,,,,,,7.39
254,,,,,,11.92
255,,5.0,,,,
256,,,,58.47,,
257,,,,,,38.31
258,,,,,59.7,
259,23.45,,,,,
260,,,10.46,,,
261,21.91,,,,,
262,,,6.66,,,
263,,,,,,4.34
264,,,,,,4.91
265,,,,,32.84,
266,,,,,,4.35
267,,,,,55.58,
268,,10.44,,,,
269,,,,60.56,,
270,,,,57.32,,
271,,,,,54.77,
272,,41.37,,,,
273,,,,38.05,,
274,,22.94,,,,
275,,12.56,,,,
276,,,,,30.43,
277,,,7.12,,,
278,8.88,,,,,
279,,,,52.87,,
280,12.04,,,,,
281,,,,46.72,,
282,,,,,43.18,
283,10.22,,,,,
284,,,,27.49,,
285,,,8.55,,,
286,,,,,62.5,
287,1.78,,,,,
288,,,,,,12.54
289,,,7.15,,,
290,20.73,,,,,
291,,,,,29.18,
292,,4.0,,,,
293,,,1.23,,,
294,,,,,37.07,
295,,,1.31,,,
296,,,,,,3.58
297,,,,30.88,,
298,,,,,,3.04
299,,,,20.99,,
300,,,1.38,,,
301,8.61,,,,,
302,,,,24.62,,
303,,,,,,62.11
304,27.98,,,,,
305,16.74,,,,,
306,,,,16.57,,
307,23.61,,,,,
308,,,,,48.6,
309,,,,47.0,,
310,,,,43.7,,
311,13.26,,,,,
312,,,,,,7.48
313,,,,70.98,,
314,,,,,82.29,
315,,,,,34.37,
316,,,,70.75,,
317,,6.81,,,,
318,,,,,,8.56
319,,,,,,6.29
320,,,,,,14.84
321,,,,,106.45,
322,,,1.29,,,
323,,,,18.6,,
324,,,,18.65,,
325,,,,,,5.36
326,,9.84,,,,
327,,6.51,,,,
328,,9.86,,,,
329,13.98,,,,,
330,,,,,69.76,
331,26.75,5.79,2.71,62.39,69.73,7.34
332,28.74,,,,,
333,,,,60.77,,
334,,,,,,7.66
335,,18.22,,,,
336,,,,41.36,,
337,,,,,30.86,
338,,,,,,2.94
339,,,,30.92,,
340,,,,,,4.59
341,,,,,,5.32
342,,,4.99,,,
343,,,,82.64,,
344,,,3.26,,,
345,32.94,,,,,
346,,,2.8,,,
347,,7.2,,,,
348,,,,,,11.2
349,,,,,,10.03
350,,,,,54.74,
351,,,,52.68,,
352,,,,71.2,,
353,,,,,,9.29
354,36.86,,,,,
355,,,,,,7.42
356,40.99,,,,,
357,,,2.27,,,
358,,,3.12,,,
359,,,,,73.73,
360,,,4.11,,,
361,,,,,,4.34
362,,,,18.64,,
363,24.08,,,,,
364,,,,17.32,,
365,,,,,,3.2
366,,,,17.66,,
367,,,,12.32,,
368,7.66,,,,,
369,,,,,,6.6
370,10.52,,,,,
371,,5.12,,,,
372,,,2.03,,,
373,30.07,8.9,1.83,32.11,40.8,8.69
374,,,,,47.85,
375,,,,37.88,,
376,,,,,,6.98
377,,20.88,,,,
378,,,,,44.73,
379,,15.1,,,,
380,,15.44,,,,
381,,,,,,4.57
382,36.74,,,,,
383,,,,,,2.7
384,,,,,,2.53
385,,,,,28.69,
386,,,2.87,,,
387,,,,83.62,,
388,,,,90.69,,
389,,,,,59.49,
390,,,,,35.73,
391,,27.52,,,,
392,,,7.21,,,
393,,,,16.65,,
394,,,,,,6.83
395,,,,,,5.65
396,23.33,,,,,
397,,,4.68,,,
398,,,,35.01,,
399,,,,,69.12,
400,,,6.78,,,
401,24.5,,,,,
402,,,,,,57.2
403,44.4,,,,,
404,,,4.59,,,
405,,,,70.45,,
406,,,4.08,,,
407,,,11.07,,,
408,,,,,48.51,
409,20.37,,,,,
410,21.53,,,,,
411,36.97,,,,,
412,,,,,,51.8
413,,,7.12,,,
414,,,,41.09,,
415,,,,,35.63,
416,,,,21.8,,
417,,,,21.84,,
418,,,,,,9.12
419,,,4.07,,,
420,,,,,,10.02
421,,,,68.01,,
422,,21.66,,,,
423,,14.19,,,,
424,,,,,110.38,
425,,,,,99.52,
426,48.9,,,,,
427,,,,,33.92,
428,,,,22.61,,
429,,,3.13,,,
430,,,2.91,,,
431,,,,,,2.63
432,,19.28,,,,
433,,12.75,,,,
434,,,,,56.56,
435,,,,,37.51,
436,,,4.05,,,
437,,,,22.97,,
438,,,4.15,,,
439,,,,,,7.84
440,,7.81,,,,
441,,6.26,,,,
442,,4.18,,,,
443,,,,,56.35,
444,,,,,176.56,
445,,,,,,17.89
446,,,,,,11.84
447,47.98,,,,,
448,,19.07,,,,
449,19.46,,,,,
450,,7.71,,,,
451,,,,27.64,,
452,,,,,21.76,
453,,,,21.3,,
454,,,,,63.63,
455,,,,31.35,,
456,7.65,,,,,
457,6.49,,,,,
458,,11.65,,,,
459,,,,23.22,,
460,,,,,30.99,
461,,,,,,5.58
462,,,3.5,,,
463,,,,65.88,,
464,,,3.22,,,
465,,,,72.24,,
466,,,,58.94,,
467,,,2.41,,,
468,,,,,60.8,
469,,14.41,,,,
470,,,,,,6.64
471,,,,52.33,,
472,,,,,57.22,
473,37.86,,,,,
474,,,,,256.56,
475,,,7.23,,,
476,,,,,,6.66
477,,6.94,,,,
478,,,,,27.31,
479,,,,84.76,,
480,,,,,,10.34
481,,,,,,50.29
482,,,,,135.1,
483,,,,81.08,,
484,,,,,91.97,
485,,17.7,,,,
486,,,,88.85,,
487,,,,,101.78,
488,,,,73.65,,
489,,,,,128.99,
490,45.95,,,,,
491,,,,,42.91,
492,,,12.83,,,
493,,,,24.71,,
494,,,,,31.0,
495,44.07,,,,,
496,37.29,,,,,
497,20.9,,,,,
498,,,4.88,,,
499,,4.92,,,,
500,,4.89,,,,
501,,,,,283.29,
502,,,,124.61,,
503,,,17.8,,,
504,49.46,,,,,
505,,,,18.81,,
506,,,2.84,,,
507,,5.14,,,,
508,,,7.93,,,
509,,,,,95.62,
510,,4.61,,,,
511,30.44,,,,,
512,,5.3,,,,
513,,,,,,12.81
514,,,6.93,,,
515,,,5.28,,,
516,,25.23,,,,
517,,,,,,9.81
518,,14.54,,,,
519,,,,,,32.5
520,44.14,,,,,
521,,19.0,,,,
522,,23.0,,,,
523,,,,,53.97,
524,,,4.32,,,
525,,,,,,6.73
526,,,,26.35,,
527,29.39,,,,,
528,,,,,,33.75
529,,,7.67,,,
530,64.58,,,,,
531,,,6.47,,,
532,,14.44,,,,
533,,13.8,,,,
534,,,7.73,,,
535,,,6.1,,,
536,,,,60.24,,
537,,,10.43,,,
538,,29.26,,,,
539,,,,67.21,,
540,,,,75.51,,
541,,17.87,,,,
542,57.36,,,,,
543,63.16,,,,,
544,,,,,,83.54
545,60.33,,,,,
546,71.87,,,,,
547,,33.28,,,,
548,,18.99,,,,
549,,16.6,,,,
550,,,6.86,,,
551,,,,,104.1,
552,,,,152.99,,
553,89.37,23.67,12.38,183.45,370.21,186.76
554,,,9.99,,,
555,,,,91.07,,
556,75.49,,,,,
557,,,,,183.11,
558,,,12.41,,,
559,88.37,25.77,9.58,179.19,400.59,221.4
560,,,,74.74,,
561,,,12.85,,,
562,,,,,52.4,
563,,,,,,13.23
564,,,,15.71,,
565,,,,,,4.28
566,49.34,,,,,
567,,,,,168.32,
568,84.19,,,,,
569,,,11.62,,,
570,42.01,,,,,
571,30.45,,,,,
572,,5.65,,,,
573,,,,,40.93,
574,9.78,,,,,
575,,,,,108.73,
576,,,9.33,,,
577,,,,,109.72,
578,48.39,,,,,
579,,,9.56,,,
580,,,,,,78.42
581,,36.39,,,,
582,,,9.14,,,
583,,,,,188.66,
584,,13.8,,,,
585,,,,,,42.87
586,,,,,,75.16
587,,,,,320.68,
588,73.16,,,,,
589,,,11.68,,,
590,,29.43,,,,
591,,,,,28.29,
592,,,,18.71,,
593,,,,,29.86,
594,,,,,33.83,
595,19.05,,,,,
596,,,,111.13,,
597,49.96,,,,,
598,,15.8,,,,
599,26.47,,,,,
600,,,1.32,,,
601,18.38,,,,,
602,,5.82,,,,
603,,,,,,10.69
604,,,,,78.66,
605,,,,,,23.31
606,,11.09,,,,
607,,,,21.92,,
608,,10.37,,,,
609,,8.91,,,,
610,,8.94,,,,
611,25.22,,,,,
612,,,0.82,,,
613,,,,,,6.03
614,,,,,22.14,
615,,,,,,8.0
616,,,,,,8.06
617,,2.86,,,,
618,,,,,50.01,
619,,,,,,10.61
620,,10.14,,,,
621,,,,,,14.4
622,17.75,,,,,
623,,,,,,5.5
624,,5.01,,,,
625,,4.1,,,,
626,,,,,52.35,
627,31.26,,,,,
628,,,,,,6.48
629,,,,58.13,,
630,,,,83.54,,
631,,14.54,,,,
632,,,,,,36.0
633,,,,,41.73,
634,,,,33.93,,
635,,,,,39.75,
636,30.69,,,,,
637,,,2.34,,,
638,,,,77.84,,
639,,,,,67.34,
640,,,,,,12.35
641,,,1.18,,,
642,,5.6,,,,
643,,,1.19,,,
644,,,,72.25,,
645,29.55,4.73,2.4,82.53,150.05,67.52
646,,,,,,85.62
647,,,,,180.79,
648,,,,,115.31,
649,,16.79,,,,
650,,10.57,,,,
651,,,1.71,,,
652,25.89,,,,,
653,,,,,,11.04
654,17.5,,,,,
655,27.02,,,,,
656,,,,,,23.86
657,,,1.15,,,
658,,,,,,10.08
659,,,,,53.48,
660,,,0.67,,,
661,,,0.81,,,
662,14.02,,,,,
663,,,,,,6.43
664,,,,29.79,,
665,,2.83,,,,
666,,,,,28.19,
667,,,,25.2,,
668,17.46,,,,,
669,13.82,,,,,
670,,11.43,,,,
671,,,,,,10.59
672,,5.16,,,,
673,,,,22.19,,
674,,4.54,,,,
675,,,,,27.59,
676,,,,26.17,,
677,,,,,44.84,
678,,,0.91,,,
679,8.95,,,,,
680,,,1.72,,,
681,,,,,,7.59
682,3.86,2.97,0.79,19.59,25.02,5.43
683,,,0.72,,,
684,5.12,,,,,
685,,,,,39.28,
686,,,,33.7,,
687,,3.92,,,,
688,,,,,45.93,
689,,,1.29,,,
690,,,,,,8.49
691,,,,,,7.19
692,,,,,42.52,
693,,5.77,,,,
694,,5.52,,,,
695,28.05,,,,,
696,,38.26,,,,
697,,,,,29.1,
698,,,,,,7.42
699,,,,,,7.21
700,22.84,,,,,
701,,,,,47.37,
702,17.35,,,,,
703,21.71,,,,,
704,,,,46.85,,
705,,,,,115.87,
706,,,,,84.52,
707,31.43,,,,,
708,,,,50.02,,
709,,,1.41,,,
710,35.78,,,,,
711,34.45,,,,,
712,,,2.91,,,
713,,,,,,6.47
714,,,2.56,,,
715,,,,90.28,,
716,,,,,,126.62
717,79.47,,,,,
718,97.92,,,,,
719,,,,,,28.69
720,,,,,,25.18
721,,9.44,,,,
722,,11.28,,,,
723,,,,,,15.42
724,,12.76,,,,
725,,,,124.74,,
726,,,,,114.51,
727,,10.85,,,,
728,,,,,32.6,
729,,,,,30.64,
730,12.5,,,,,
731,,7.44,,,,
732,22.18,,,,,
733,,,,,,8.72
734,,,,,102.56,
735,,,5.03,,,
736,,,4.79,,,
737,,,4.19,,,
738,,,3.66,,,
739,30.2,,,,,
740,,,4.27,,,
741,37.25,,,,,
742,,,,,,13.68
743,,,,25.78,,
744,,,5.52,,,
745,15.82,,,,,
746,,12.89,,,,
747,18.09,,,,,
748,,,,,63.17,
749,29.38,,,,,
750,,,,53.36,,
751,,,,44.29,,
752,,,,,,17.2
753,,,4.93,,,
754,36.98,,,,,
755,,,,,,79.95
756,,,7.32,,,
757,,14.9,,,,
758,,,5.33,,,
759,,,,22.46,,
760,,,,,,7.96
761,,,5.01,,,
762,,,,19.67,,
763,,,,68.98,,
764,,,,,77.67,
765,,,,,339.62,
766,,,,,,7.23
767,21.22,,,,,
768,,,,,33.63,
769,,,,,,7.41
770,,,4.44,,,
771,,,,115.29,,
772,,,,,,57.34
773,,28.46,,,,
774,,,4.26,,,
775,8.93,,,,,
776,,,2.66,,,
777,13.94,,,,,
778,,5.17,,,,
779,,,,29.12,,
780,,,2.65,,,
781,,,,,,4.68
782,,,3.45,,,
783,,,,,,4.66
784,,,3.71,,,
785,,,,38.94,,
786,8.34,,,,,
787,,12.2,,,,
788,,,,19.21,,
789,,5.62,,,,
790,,,3.95,,,
791,,,,,37.13,
792,,,,,38.67,
793,,,,,54.26,
794,,,2.89,,,
795,,,2.71,,,
796,,,2.99,,,
797,,,,,50.39,
798,15.59,,,,,
799,,2.55,,,,
800,,,,,64.55,
801,,9.93,,,,
802,,,,33.86,,
803,,,3.46,,,
804,,,,,,5.53
805,,,4.22,,,
806,,1.66,,,,
807,,,,,121.8,
808,,,4.97,,,
809,10.14,,,,,
810,,,,,31.95,
811,,,,,,10.78
812,,,,,,17.36
813,,,,,,11.22
814,,16.84,,,,
815,,7.04,,,,
816,12.51,,,,,
817,,,6.13,,,
818,,,5.32,,,
819,17.18,,,,,
820,25.88,,,,,
821,,,,,,10.11
822,,,,21.27,,
823,,10.74,,,,
824,,,4.72,,,
825,,,,24.76,,
826,,,,29.75,,
827,,5.6,,,,
828,,,,,,8.38
829,22.29,,,,,
830,,,,,,9.49
831,,4.04,,,,
832,,,2.97,,,
833,,,,,,4.77
834,8.46,,,,,
835,,,,,57.4,
836,,,,,45.4,
837,,,6.28,,,
838,,,,,26.12,
839,17.3,,,,,
840,,,,18.01,,
841,,1.4,,,,
842,,2.92,,,,
843,,,,,,11.08
844,,,3.11,,,
845,,,,55.02,,
846,,,,,,9.06
847,9.55,,,,,
848,14.39,,,,,
849,9.74,,,,,
850,,,,77.47,,
851,,,,,77.22,
852,,,,50.04,,
853,,,,47.87,,
854,15.28,,,,,
855,,,,,81.64,
856,,,3.34,,,
857,,,,,80.56,
858,,,,,78.99,
859,,,,47.08,,
860,24.02,,,,,
861,19.79,,,,,
862,,,,,,14.82
863,,,3.65,,,
864,,,3.61,,,
865,21.02,,,,,
866,,,3.26,,,
867,,,3.42,,,
868,,3.22,,,,
869,,,,49.88,,
870,,,2.81,,,
871,,,,,52.05,
872,,,,,,7.16
873,,5.98,,,,
874,,,2.25,,,
875,,5.48,,,,
876,,,,,22.02,
877,,,,,,4.82
878,,,,,,4.94
879,,,,,,8.97
880,,,,49.13,,
881,,,3.34,,,
882,11.53,,,,,
883,,4.28,,,,
884,,,,22.72,,
885,,,,,,10.15
886,,,,61.9,,
887,,,,,67.41,
888,,,,,63.78,
889,,,,,66.99,
890,,,,48.7,,
891,,,,,54.9,
892,,,,,,6.45
893,,,,,30.28,
894,,,1.83,,,
895,,7.0,,,,
896,,,,17.59,,
897,,,,17.44,,
898,,,,,41.12,
899,,,,,46.35,
900,32.98,,,,,
901,21.5,,,,,
902,,,,,,8.87
903,,,,17.51,,
904,,,5.85,,,
905,19.19,,,,,
906,,,,28.52,,
907,,,4.7,,,
908,,,,47.52,,
909,13.41,,,,,
910,17.61,,,,,
911,12.42,,,,,
912,,,,35.33,,
913,,,2.83,,,
914,,,,,41.01,
915,,,2.73,,,
916,,,,,23.02,
917,,,2.64,,,
918,,,,,23.56,
919,,3.27,,,,
920,10.86,,,,,
921,,4.22,,,,
922,,,,,,15.03
923,14.15,,,,,
924,,,,,,10.36
925,,4.23,,,,
926,25.65,,,,,
927,,3.48,,,,
928,,,,,,62.34
929,,20.09,,,,
930,,29.08,,,,
931,,,,,174.69,
932,,37.12,,,,
933,,,,98.12,,
934,,,7.1,,,
935,,,,,108.94,
936,,26.03,,,,
937,61.39,34.1,8.47,73.23,108.33,35.1
938,50.52,,,,,
939,,38.02,,,,
940,,,,80.62,,
941,38.19,,,,,
942,,,,,,13.11
943,,,,,,9.76
944,,,4.41,,,
945,,,,,24.37,
946,32.94,,,,,
947,,,,69.41,,
948,,,,28.59,,
949,25.44,,,,,
950,,,2.52,,,
951,,,,,,8.89
952,48.06,,,,,
953,,18.37,,,,
954,,,,,60.92,
955,,,5.47,,,
956,52.91,,,,,
957,,,,,210.6,
958,59.85,,,,,
959,,26.47,,,,
960,,,,,153.88,
961,,,,92.22,,
962,,,4.57,,,
963,55.04,,,,,
964,,20.16,,,,
965,,,,,74.79,
966,,,,74.24,,
967,,,,,49.08,
968,45.11,,,,,
969,32.69,,,,,
970,,,2.84,,,
971,,,,,,7.93
972,,,3.35,,,
973,,,,21.29,,
974,,21.37,,,,
975,,17.39,,,,
976,,12.87,,,,
977,24.4,,,,,
978,,,,,,11.27
979,,19.44,,,,
980,,,,,,16.99
981,,,,,108.98,
982,,12.96,,,,
983,,,,,56.98,
984,,,4.21,,,
985,,,3.54,,,
986,,,,51.21,,
987,26.13,,,,,
988,,,,96.13,,
989,,16.39,,,,
990,34.78,,,,,
991,,,,78.95,,
992,,,,,47.37,
993,,12.87,,,,
994,,13.91,,,,
